,DATE,Maximum Wind Speed,Moving Avg Wind Speed,Wind Linear Model
46048,2005-01-28,5.0,2.219999999999999,2.5400851300533773
46049,2005-01-29,5.6,2.679999999999999,2.5401476090353867
46050,2005-01-30,5.1,3.0199999999999987,2.540210088017389
46051,2005-01-31,16.2,3.659999999999999,2.5402725669993984
46052,2005-02-01,13.3,3.979999999999999,2.540335045981408
46053,2005-02-02,13.4,4.179999999999998,2.54039752496341
46054,2005-02-03,10.4,3.5999999999999988,2.5404600039454195
46055,2005-02-04,7.6,3.0599999999999987,2.540522482927429
46056,2005-02-05,7.1,2.3599999999999985,2.540584961909431
46057,2005-02-06,4.2,1.8799999999999986,2.5406474408914406
46058,2005-02-07,4.7,1.6599999999999988,2.54070991987345
46059,2005-02-08,4.3,2.0199999999999987,2.5407723988554523
46060,2005-02-09,4.6,2.9599999999999986,2.5408348778374616
46061,2005-02-10,15.5,4.359999999999998,2.540897356819471
46062,2005-02-11,15.4,5.519999999999999,2.5409598358014733
46063,2005-02-12,29.9,6.199999999999998,2.5410223147834827
46064,2005-02-13,18.7,6.039999999999998,2.541084793765492
46065,2005-02-14,12.9,5.3599999999999985,2.5411472727474944
46066,2005-02-15,9.7,4.039999999999998,2.541209751729504
46067,2005-02-16,8.8,2.9399999999999986,2.541272230711506
46068,2005-02-17,4.4,2.5799999999999983,2.5413347096935155
46069,2005-02-18,5.6,2.299999999999998,2.541397188675525
46070,2005-02-19,7.6,2.3199999999999985,2.541459667657527
46071,2005-02-20,5.5,2.3999999999999977,2.5415221466395366
46072,2005-02-21,8.9,2.419999999999998,2.541584625621546
46073,2005-02-22,6.9,2.1999999999999984,2.5416471046035483
46074,2005-02-23,6.5,2.059999999999998,2.5417095835855577
46075,2005-02-24,7.4,1.819999999999998,2.541772062567567
46076,2005-02-25,4.3,2.0999999999999983,2.5418345415495693
46077,2005-02-26,4.6,2.0999999999999983,2.5418970205315787
46078,2005-02-27,10.9,2.0399999999999983,2.541959499513588
46079,2005-02-28,5.6,1.9999999999999982,2.5420219784955904
46080,2005-03-01,6.9,2.0799999999999983,2.5420844574776
46081,2005-03-02,4.1,1.6999999999999982,2.542146936459609
46082,2005-03-03,6.4,1.6799999999999984,2.5422094154416115
46083,2005-03-04,5.9,1.8599999999999983,2.542271894423621
46084,2005-03-05,5.3,2.5199999999999982,2.5423343734056303
46085,2005-03-06,6.8,3.2799999999999985,2.5423968523876326
46086,2005-03-07,12.6,3.8999999999999986,2.542459331369642
46087,2005-03-08,14.6,4.059999999999999,2.5425218103516514
46088,2005-03-09,13.6,4.599999999999999,2.5425842893336537
46089,2005-03-10,9.2,5.439999999999998,2.542646768315663
46090,2005-03-11,17.6,5.139999999999999,2.5427092472976724
46091,2005-03-12,21.7,4.459999999999998,2.5427717262796747
46092,2005-03-13,12.4,4.619999999999998,2.542834205261684
46093,2005-03-14,6.2,4.159999999999998,2.5428966842436935
46094,2005-03-15,10.5,3.5399999999999983,2.542959163225696
46095,2005-03-16,7.2,3.5799999999999983,2.543021642207705
46096,2005-03-17,17.5,3.9799999999999978,2.5430841211897146
46097,2005-03-18,13.1,3.859999999999998,2.543146600171717
46098,2005-03-19,10.8,3.7999999999999985,2.5432090791537263
46099,2005-03-20,7.3,3.139999999999998,2.5432715581357357
46100,2005-03-21,6.8,2.719999999999998,2.543334037117738
46101,2005-03-22,6.0,2.359999999999998,2.5433965160997474
46102,2005-03-23,6.9,2.319999999999998,2.5434589950817568
46103,2005-03-24,5.6,2.219999999999998,2.543521474063759
46104,2005-03-25,7.4,2.0399999999999983,2.5435839530457685
46105,2005-03-26,8.0,2.0399999999999983,2.543646432027778
46106,2005-03-27,5.2,2.0599999999999983,2.54370891100978
46107,2005-03-28,10.7,1.819999999999998,2.5437713899917895
46108,2005-03-29,6.4,1.8999999999999981,2.543833868973799
46109,2005-03-30,3.9,2.339999999999998,2.543896347955801
46110,2005-03-31,7.6,2.459999999999998,2.5439588269378106
46111,2005-04-01,10.1,2.459999999999998,2.54402130591982
46112,2005-04-02,9.5,2.5999999999999983,2.5440837849018223
46113,2005-04-03,7.3,2.799999999999998,2.5441462638838317
46114,2005-04-04,6.2,2.4999999999999982,2.544208742865841
46115,2005-04-05,13.8,2.4999999999999987,2.5442712218478434
46116,2005-04-06,8.9,2.6399999999999983,2.5443337008298528
46117,2005-04-07,11.7,2.839999999999998,2.544396179811862
46118,2005-04-08,10.3,2.4999999999999982,2.5444586587938645
46119,2005-04-09,10.1,2.7399999999999984,2.544521137775874
46120,2005-04-10,6.3,2.779999999999998,2.5445836167578832
46121,2005-04-11,12.3,2.599999999999998,2.5446460957398855
46122,2005-04-12,14.5,2.459999999999998,2.544708574721895
46123,2005-04-13,5.0,2.559999999999998,2.5447710537038972
46124,2005-04-14,7.8,2.559999999999998,2.5448335326859066
46125,2005-04-15,7.4,2.6999999999999984,2.544896011667916
46126,2005-04-16,12.2,3.0999999999999983,2.5449584906499183
46127,2005-04-17,12.5,3.2999999999999985,2.5450209696319277
46128,2005-04-18,11.2,3.559999999999998,2.545083448613937
46129,2005-04-19,9.4,3.3999999999999986,2.5451459275959394
46130,2005-04-20,11.7,3.0199999999999982,2.545208406577949
46131,2005-04-21,8.1,2.6999999999999984,2.545270885559958
46132,2005-04-22,6.2,2.439999999999998,2.5453333645419605
46133,2005-04-23,9.8,2.399999999999998,2.54539584352397
46134,2005-04-24,6.6,2.6199999999999983,2.5454583225059793
46135,2005-04-25,11.5,2.879999999999998,2.5455208014879815
46136,2005-04-26,11.4,2.879999999999998,2.545583280469991
46137,2005-04-27,17.0,2.979999999999998,2.5456457594520003
46138,2005-04-28,7.0,2.719999999999998,2.5457082384340026
46139,2005-04-29,8.1,2.4399999999999986,2.545770717416012
46140,2005-04-30,7.2,2.1399999999999983,2.5458331963980214
46141,2005-05-01,8.4,2.319999999999998,2.5458956753800237
46142,2005-05-02,6.9,2.7399999999999984,2.545958154362033
46143,2005-05-03,15.8,2.9399999999999986,2.5460206333440425
46144,2005-05-04,14.2,3.3999999999999986,2.546083112326045
46145,2005-05-05,10.6,4.079999999999998,2.546145591308054
46146,2005-05-06,13.8,4.299999999999999,2.5462080702900636
46147,2005-05-07,18.4,4.039999999999997,2.546270549272066
46148,2005-05-08,15.2,3.819999999999998,2.5463330282540753
46149,2005-05-09,10.2,3.4399999999999986,2.5463955072360847
46150,2005-05-10,9.2,3.099999999999998,2.546457986218087
46151,2005-05-11,9.1,2.8199999999999985,2.5465204652000963
46152,2005-05-12,11.0,2.759999999999998,2.5465829441821057
46153,2005-05-13,7.3,3.219999999999998,2.546645423164108
46154,2005-05-14,15.5,3.2999999999999985,2.5467079021461174
46155,2005-05-15,15.1,3.1199999999999983,2.546770381128127
46156,2005-05-16,11.1,3.1599999999999984,2.546832860110129
46157,2005-05-17,8.4,2.979999999999998,2.5468953390921385
46158,2005-05-18,8.4,2.5199999999999982,2.546957818074148
46159,2005-05-19,7.2,2.379999999999998,2.54702029705615
46160,2005-05-20,5.8,2.239999999999998,2.5470827760381596
46161,2005-05-21,14.6,2.259999999999998,2.547145255020169
46162,2005-05-22,6.0,2.2799999999999985,2.5472077340021713
46163,2005-05-23,11.3,2.259999999999998,2.5472702129841807
46164,2005-05-24,5.5,2.219999999999998,2.54733269196619
46165,2005-05-25,6.3,2.1599999999999984,2.5473951709481923
46166,2005-05-26,6.9,1.8999999999999981,2.5474576499302017
46167,2005-05-27,5.9,1.9399999999999984,2.547520128912211
46168,2005-05-28,6.1,2.3399999999999985,2.5475826078942134
46169,2005-05-29,8.7,2.439999999999998,2.547645086876223
46170,2005-05-30,14.0,2.4999999999999982,2.547707565858232
46171,2005-05-31,7.7,2.4999999999999982,2.5477700448402345
46172,2005-06-01,7.5,2.5199999999999982,2.547832523822244
46173,2005-06-02,6.9,2.359999999999998,2.5478950028042533
46174,2005-06-03,14.4,2.4999999999999982,2.5479574817862556
46175,2005-06-04,10.6,2.6999999999999984,2.548019960768265
46176,2005-06-05,11.2,3.1199999999999983,2.5480824397502744
46177,2005-06-06,10.9,3.1799999999999984,2.5481449187322767
46178,2005-06-07,11.5,3.0399999999999983,2.548207397714286
46179,2005-06-08,8.1,2.879999999999998,2.5482698766962883
46180,2005-06-09,9.4,2.859999999999998,2.5483323556782977
46181,2005-06-10,9.0,2.4799999999999978,2.548394834660307
46182,2005-06-11,9.5,2.5399999999999983,2.5484573136423094
46183,2005-06-12,6.7,2.559999999999998,2.548519792624319
46184,2005-06-13,17.8,2.5799999999999983,2.548582271606328
46185,2005-06-14,14.5,2.3999999999999986,2.5486447505883305
46186,2005-06-15,7.8,2.5199999999999982,2.54870722957034
46187,2005-06-16,5.3,2.3399999999999985,2.5487697085523493
46188,2005-06-17,8.0,2.319999999999998,2.5488321875343516
46189,2005-06-18,6.0,2.199999999999998,2.548894666516361
46190,2005-06-19,7.4,2.139999999999998,2.5489571454983704
46191,2005-06-20,7.0,2.2399999999999984,2.5490196244803727
46192,2005-06-21,6.6,2.2399999999999984,2.549082103462382
