,rainfall
120,2.5357142857142856
121,6.607142857142857
122,10.142857142857142
123,3.4285714285714284
124,6.571428571428571
125,5.607142857142857
126,6.392857142857143
127,4.535714285714286
128,5.75
129,3.857142857142857
130,5.142857142857143
131,11.392857142857142
132,5.714285714285714
133,15.464285714285714
134,6.321428571428571
135,16.392857142857142
136,7.285714285714286
137,6.321428571428571
138,9.392857142857142
139,14.357142857142858
140,17.571428571428573
141,11.035714285714286
142,18.892857142857142
143,21.321428571428573
144,19.035714285714285
145,13.678571428571429
146,9.964285714285714
147,14.035714285714286
148,6.714285714285714
149,10.892857142857142
150,22.387096774193548
151,22.806451612903224
152,29.258064516129032
153,19.741935483870968
154,20.06451612903226
155,24.161290322580644
156,27.548387096774192
157,30.32258064516129
158,13.96774193548387
159,16.451612903225808
160,13.096774193548388
161,16.612903225806452
162,22.483870967741936
163,29.096774193548388
164,31.0
165,27.161290322580644
166,13.35483870967742
167,29.516129032258064
168,22.096774193548388
169,20.70967741935484
170,25.90322580645161
171,19.258064516129032
172,23.548387096774192
173,19.35483870967742
174,24.258064516129032
175,25.516129032258064
176,17.548387096774192
177,23.225806451612904
178,26.61290322580645
179,28.41935483870968
180,16.3
181,23.0
182,26.166666666666668
183,26.4
184,12.5
185,8.3
186,10.3
187,7.1
188,16.966666666666665
189,15.4
190,15.066666666666666
191,6.6
192,12.233333333333333
193,14.966666666666669
194,10.333333333333334
195,17.153846153846153
196,11.5
197,18.33333333333333
198,10.066666666666666
199,33.0
200,29.5
201,33.8
202,16.733333333333334
203,32.266666666666666
204,27.1
205,26.6
206,17.933333333333334
207,10.903225806451612
208,13.774193548387096
209,14.612903225806452
210,25.870967741935484
211,9.35483870967742
212,8.903225806451612
213,10.387096774193548
214,9.516129032258064
215,11.03225806451613
216,11.935483870967742
217,17.225806451612904
218,17.06451612903226
219,12.35483870967742
220,18.451612903225808
221,14.838709677419354
222,13.838709677419354
223,14.548387096774194
224,10.161290322580646
225,16.0
226,10.161290322580646
227,10.129032258064516
228,12.387096774193548
229,10.548387096774194
230,13.483870967741936
231,13.903225806451612
232,23.06451612903226
233,34.935483870967744
234,6.1
235,7.1
236,7.5
237,10.8
238,6.433333333333334
239,6.033333333333333
240,5.0
241,3.933333333333333
242,20.53333333333333
243,3.7666666666666666
244,15.6
245,20.633333333333333
246,17.833333333333332
247,11.5
248,19.133333333333333
249,15.4
250,9.9
251,14.966666666666669
252,10.833333333333334
253,5.566666666666666
254,4.366666666666666
255,2.533333333333333
256,6.3
257,10.3
258,7.2
259,17.9
260,4.633333333333334
261,1.7741935483870968
262,2.4516129032258065
263,3.096774193548387
264,2.6451612903225805
265,2.290322580645161
266,6.935483870967742
267,4.516129032258065
268,2.5806451612903225
269,5.096774193548387
270,4.548387096774194
271,2.870967741935484
272,1.3548387096774193
273,2.161290322580645
274,6.806451612903226
275,1.6451612903225807
276,3.4838709677419355
277,1.4838709677419355
278,4.258064516129032
279,7.774193548387097
280,9.870967741935484
281,9.129032258064516
282,10.870967741935484
283,3.4516129032258065
284,11.35483870967742
285,12.96774193548387
286,17.193548387096776
287,18.580645161290324
288,7.571428571428571
289,3.2142857142857144
290,3.321428571428572
291,3.5
292,4.5
293,11.035714285714286
294,9.714285714285714
295,7.785714285714286
296,5.607142857142857
297,4.785714285714286
298,6.107142857142857
299,5.357142857142857
300,4.464285714285714
301,6.035714285714286
302,6.142857142857143
303,8.642857142857142
304,5.642857142857143
305,11.464285714285714
306,13.214285714285714
307,8.214285714285714
308,8.178571428571429
309,7.392857142857143
310,7.928571428571429
311,10.321428571428571
312,5.285714285714286
313,8.5
314,10.928571428571429
315,19.387096774193548
316,23.677419354838708
317,24.774193548387096
318,23.90322580645161
319,18.774193548387096
320,17.838709677419356
321,17.967741935483872
322,17.419354838709676
323,31.61290322580645
324,18.387096774193548
325,37.516129032258064
326,16.096774193548388
327,24.870967741935484
328,15.0
329,12.67741935483871
330,27.70967741935484
331,27.806451612903224
332,27.61290322580645
333,23.870967741935484
334,20.548387096774192
335,20.70967741935484
336,20.516129032258064
337,21.70967741935484
338,24.548387096774192
339,22.64516129032258
340,16.193548387096776
341,31.70967741935484
342,12.833333333333334
343,19.566666666666663
344,14.566666666666666
345,20.133333333333333
346,16.7
347,16.333333333333332
348,10.2
349,13.333333333333334
350,15.833333333333334
351,17.7
352,19.73333333333333
353,21.366666666666667
354,16.466666666666665
355,9.366666666666667
356,8.4
357,11.966666666666669
358,9.7
359,8.633333333333333
360,12.533333333333331
361,33.63333333333333
362,21.866666666666667
363,19.62962962962963
364,27.6
365,30.23333333333333
366,36.766666666666666
367,24.73333333333333
368,16.233333333333334
369,19.633333333333333
370,22.966666666666665
371,31.433333333333334
372,21.8
373,40.833333333333336
374,8.0
375,11.64516129032258
376,11.32258064516129
377,18.580645161290324
378,8.64516129032258
379,11.258064516129032
380,18.41935483870968
381,14.935483870967742
382,11.03225806451613
383,11.0
384,19.806451612903224
385,13.580645161290322
386,16.93548387096774
387,16.774193548387096
388,17.322580645161292
389,16.129032258064516
390,8.580645161290322
391,16.032258064516128
392,16.903225806451612
393,10.064516129032258
394,9.387096774193548
395,8.290322580645162
396,18.766666666666666
397,9.870967741935484
398,15.064516129032258
399,46.03225806451613
400,28.741935483870968
401,29.387096774193548
402,22.096774193548388
