,correlation
88,8.33216508960714e-06
89,1.1802681462002824e-05
90,1.3180967216319566e-05
91,1.2162850597285725e-05
92,3.036272767958108e-05
93,9.65571598376621e-06
94,1.4978823146228708e-05
95,1.511374353404523e-05
96,1.1298933635123435e-05
97,1.3873626859714963e-05
98,9.763228887575347e-06
99,9.65571598376621e-06
100,1.3764244784815794e-05
101,1.2877425278898124e-05
102,4.918279673837655e-06
103,1.0667001008899735e-05
104,1.2608851236633452e-06
105,2.46387240592529e-05
106,2.46387240592529e-05
107,2.46387240592529e-05
108,9.96733511360139e-06
109,2.3955086430854027e-05
110,-3.876691668332274e-06
111,-4.006518682636544e-06
112,1.3684396224990489e-05
113,1.7992775128269106e-05
114,1.7992775128269106e-05
115,1.9958163462181715e-05
116,2.0156064788983967e-05
117,1.6576040423912832e-05
118,1.907869142514647e-05
119,1.735265143715552e-05
120,1.6696204622990167e-05
121,1.7073149360301766e-05
122,-4.416629169892882e-06
123,1.7149727775871744e-05
124,-5.334497762155966e-06
125,1.4933703024303165e-05
126,1.17372733115086e-05
127,3.951362855770326e-05
128,-3.830102052640906e-06
129,3.502140680137183e-05
130,2.3919919469884155e-05
131,1.5079973515505276e-06
132,3.912207429732137e-05
133,5.928988198511917e-05
134,4.052699803160137e-05
135,1.6886340116803926e-05
136,3.217615535330575e-05
137,2.8861703871252614e-05
138,1.2629968702733683e-05
139,1.5120155781462668e-05
140,1.99320394980505e-05
141,1.2087827933540888e-05
142,1.407977657869909e-05
143,3.073261955608488e-05
145,2.2554925672818177e-05
146,1.9780099423163604e-05
147,1.578462754460063e-05
148,1.4568084614359464e-05
149,1.543258542212751e-05
150,3.062683561073992e-05
151,2.9246234608094857e-05
152,2.3735851462893623e-05
153,3.4392442585213526e-05
154,3.896540279093022e-05
155,2.863658483396677e-05
156,3.712972282962882e-05
157,3.79653007547604e-05
158,2.765223870181148e-05
159,2.4193290890668084e-05
160,1.7269749753631226e-05
161,1.950597062082269e-05
162,-1.3202242535849674e-06
163,1.94921574401294e-08
164,1.6268379366218968e-05
165,8.481288700606341e-06
166,2.070089112193604e-05
167,1.2260632968656384e-05
168,1.4902773802325496e-05
169,9.627167499317062e-06
170,1.2424580487022582e-05
171,-5.888820055395044e-06
172,2.2116421860708e-05
173,2.1579743983412903e-05
174,3.191335669789784e-05
175,2.0474125630216365e-05
176,2.0122273841832333e-05
177,2.9909879002020413e-05
178,2.5456047672519346e-05
179,1.2960149663001532e-05
180,1.3642130600533385e-05
181,2.496865606575473e-05
182,2.2898976234140926e-05
183,3.63831504178079e-05
184,1.4258782986269122e-05
185,1.6392630457602413e-05
186,1.640745155720233e-05
187,-1.6343965203158368e-06
188,1.870170659968808e-05
189,-3.1591100592174348e-06
190,-7.99985718005555e-06
191,4.04265683312108e-05
192,-1.2970500711599769e-06
193,1.01999976187497e-05
194,1.3083228056855711e-05
195,1.6837673912662614e-05
196,1.848970134255361e-05
197,1.221039540828595e-05
198,1.0143663430900056e-05
199,2.233777658536048e-05
200,2.4292914782546775e-05
201,2.075243020119926e-05
202,3.33235297953144e-05
203,2.6689856664258968e-05
204,2.2438279179402646e-05
205,2.287368509536298e-05
206,2.0683779677490903e-05
207,5.060193044647138e-06
208,1.6870170708819235e-05
209,1.0348517326147073e-05
210,8.228128731408091e-06
211,9.238162770911674e-06
212,2.1236103039188352e-05
213,-5.102755176289394e-06
214,1.3074245952840163e-05
215,5.263352706557597e-05
216,1.4485439238037892e-05
217,2.396380098614217e-05
218,7.015806542945956e-06
219,1.664257894799427e-07
220,7.084850614266935e-06
221,1.809834863695031e-07
222,1.5022191572080053e-05
223,1.5035025784014508e-05
224,1.1277980552317576e-05
225,7.089071571652758e-06
226,1.4195786395753958e-05
227,4.56919437508748e-05
228,2.701302094292751e-05
229,1.7169452097669005e-05
230,2.340143985263794e-05
231,1.9979386036575495e-05
232,1.3395129015360054e-05
233,-1.7937347205180386e-05
234,-1.1609354861246907e-05
236,1.0394246841906743e-05
237,5.7640394825359713e-05
238,2.3292402333509407e-05
239,2.52096561087632e-05
240,1.607389254826069e-05
241,7.031844874710668e-06
242,2.663668692043049e-05
243,-5.318094085111952e-06
244,1.2406460189152206e-05
245,1.3268969980760217e-05
246,3.0025011531420812e-05
247,2.286501822670184e-05
248,2.953060685308552e-05
249,3.144989759959297e-05
250,3.380921040735888e-05
251,2.7697817735106943e-05
252,2.493408761785792e-05
253,3.0241551093996752e-05
254,1.2849539655172942e-05
255,1.1921271496287986e-05
256,1.0404957845653842e-05
257,1.5095190696030097e-05
258,1.2099658830638923e-05
259,1.844853580741854e-05
260,1.7003642887516727e-05
261,5.598724336008826e-05
262,5.369516308268466e-06
263,6.483098268289763e-06
264,1.1747713335406177e-05
265,2.489187530510281e-05
266,2.702590511201862e-05
267,2.1138449187257092e-05
268,7.029916313334446e-06
269,-1.6248559074011195e-05
270,-7.313891798207428e-05
271,1.26391110115548e-05
272,1.4625469445894846e-05
273,-6.984113735937204e-06
274,4.853667057649602e-06
275,1.2691522974114422e-05
276,2.925510259198716e-05
277,1.2962059898790486e-05
278,1.992251916592921e-05
279,1.2640897230751471e-05
280,1.618334787974264e-05
281,-4.770127020159591e-06
282,-1.8916909694194075e-05
283,-7.619202768272113e-06
284,3.700512839375036e-05
285,8.039981853435922e-06
286,1.4868469632327929e-05
287,1.6223257663747e-05
288,1.3948350023948976e-05
289,1.6821414131466835e-05
290,8.694672489380566e-06
291,1.938720626517732e-05
292,5.173238358428318e-06
293,1.0536115169795544e-05
294,4.0255635024750245e-05
295,-4.644068317216709e-07
296,3.4702843235379967e-05
297,3.1388864967140764e-05
298,1.4639092930317763e-05
299,1.764993674621709e-05
300,3.135803907714514e-05
301,9.7235347337536e-06
302,2.2076110940213596e-05
303,1.615045460109428e-05
304,2.9511341575864187e-05
305,3.32819156462239e-05
306,2.2576112516445653e-05
307,2.3676933334383533e-05
308,3.34624882262814e-05
309,1.8298096412006424e-06
311,2.4419587984878337e-05
312,2.061175523925341e-05
313,3.6003579264144695e-05
314,-2.606096702551158e-06
315,-5.209391733718357e-06
316,3.253195079738613e-05
317,2.4820822972248467e-05
318,2.2694512592981377e-05
319,7.03467210596212e-07
320,3.5559231033918e-05
321,2.141567000354761e-05
322,4.893192408083321e-05
323,5.108990089162454e-05
324,3.369380945985988e-05
325,2.008456166206554e-05
326,9.945004170481035e-06
327,2.879426263916805e-05
328,1.5384896003219333e-05
329,4.296456871866208e-05
330,1.1069157264806087e-05
331,7.938431923464457e-06
332,-6.579578995816283e-06
333,2.869900445801951e-05
334,2.607579173124072e-05
335,2.819701435424605e-05
336,2.097476820274188e-05
337,2.9828895868628884e-05
338,1.292473491030972e-05
339,2.835162144985117e-05
340,3.098869961190984e-05
341,2.3523819124904263e-05
342,1.1222155767917117e-05
343,4.443284973869845e-05
344,2.073870965655847e-05
345,1.0424981583739094e-05
346,2.7298970431191936e-05
347,2.4725887241578937e-05
348,1.3351950546659186e-05
349,5.5870981154460926e-05
